source,review_id,user_name,review_title,review_description,rating,thumbs_up,review_date,developer_response,developer_response_date,appVersion,laguage_code,country_code
Google Play,aa942133-ad17-486a-84b1-a1e5dd7fd7e5,Shreedharan V,,"Apparently, the avira password manager does not save my passwords for some reason.",1,0,2023-07-28 14:33:43,"Hello Shreedharan! In order to resolve the issue, please visit our website - https://support.avira.com, where you can find the solution yourself on our self-help portal. You can also contact our support through the same link.",2023-07-31 17:15:15,2.10,en,us
Google Play,cdaf3f5b-43a3-478a-b3d8-21af7d7772d4,Giuseppe Gaviani,,"Avira is an excellent, easy to use password manager where you can store over 100 passwords for free",5,0,2023-07-28 12:53:06,,,2.10,en,us
Google Play,4122b9a0-45b2-46e8-a31b-93edc070ed37,shanker udayan,,They make you to subscribe premium with passwords locked in it . Unable to contact support team unless you're a premium customer. Please don't go for it :( . Review edited,1,0,2023-07-27 15:22:59,Hello shanker! We deeply apologize for the inconvenience caused to you. Please contact us through our website- https://support.avira.com We will surely help you in resolving your concern.,2023-07-31 17:17:36,2.10,en,us
Google Play,cb091ba2-cfaf-48b6-abd7-e08a8b983095,autoPING,,Perfect 👍,5,1,2023-07-27 08:37:09,,,2.10,en,us
Google Play,cc1e4978-12b0-4751-aa9f-f6397468dc56,something,,"Pretty straight forward to use, but, on some apps the auto fill doesn't work, so you have to manually past in the password, and, there is no way (that I know of without premuim) to find out what accounts have been breached/have a bad password, it will only say that an account is breached and than show a blurred icon of the app",4,1,2023-07-27 01:18:04,,,2.10,en,us
Google Play,38262b17-70e8-4384-bf47-37e9b19a5b8f,Jason Hamer,,"Great service, but the app is stuck in a log in loop after sms two factor authentication. Update: Unable to get support without paying for a premium license.",1,1,2023-07-20 02:42:02,Hello Jason! We deeply apologize for the trouble you have faced regarding two-factor authentication. Please contact us through our website- https://support.avira.com We will surely help you in resolving your concern.,2023-07-19 18:49:16,,en,us
Google Play,a5d6317b-8769-45ce-bb6a-ccc5f0ebe31b,nishiki,,I've been using Avira Password Manager for a few years and I've been quite satisfied with it!,5,1,2023-07-13 20:57:53,,,2.10,en,us
Google Play,c2e6c717-e059-41b1-8795-55fd9bf7b703,Adam TR,,"From a reputable company, keeps all your passwords accessible everywhere you go across phone to pc. Only wish is that 2fa also saved your codes remotely",5,0,2023-07-13 00:11:30,,,2.10,en,us
Google Play,637219e9-3a20-45f3-816c-fb93e95eaae5,manolo teatro,,I cant login to desktop web browser giving me an unkown error. Tried changing password via finger print enabled mobile app and getting a connection error after clicking change master password... Now it suggests to forget all creds.,1,0,2023-07-12 06:14:59,"We apologize for the inconvenience. To resolve the issue, please try the following steps: 1. Clear the cache and cookies of your web browser. 2. Make sure you have a stable internet connection. 3. Uninstall and reinstall the Avira Password Manager app on your mobile device. 4. Restart your device and try logging in again.",2023-07-15 01:16:40,,en,us
Google Play,f9dedf0e-494a-49c1-9722-01a18d504166,Rogue Development,,Good app,5,0,2023-07-11 11:35:08,,,2.10,en,us
Google Play,413c81c7-57c8-46ce-b42d-81edfa3d65ae,Binyo Kin,,It frequently signs out requiring frequent sign in. Being generous with a free services as well as smooth functionality is why I give full 5 ⭐✨⭐,5,2,2023-07-08 02:29:14,,,2.10,en,us
Google Play,de0ecd25-09a8-4e60-8fb6-97ce4ffbf3c6,Ritik Jinoliya,,My love Poonam,5,0,2023-07-06 17:35:30,,,,en,us
Google Play,11d96d4f-8a4c-4164-8709-d13d7aa1e0b3,Brian Smyth,,Great until I changed smartphone. Everytime I try entering the password it says. NO internet connection. Can't find a way of rectify it. No helping hand in ways of support contact. I'll need to cancel and start all over again with another company.,1,1,2023-07-04 15:24:00,"Hello Brian! Please check if uninstalling and reinstalling the application helps with this. In case the issue persists, please visit our support website- https://support.avira.com where you will find the information and solutions on our self-help portal.",2023-07-04 18:42:37,2.10,en,us
Google Play,7476d166-cc34-44a6-980d-4316ea663d8d,Stamatis Baltas,,Using it on both android and PC,5,1,2023-07-04 12:00:25,,,2.10,en,us
Google Play,b6a81416-86a6-48a9-b9ef-fa754c8c9eff,james maina,,"The previous app was functional but after the update, I am unable to login in my account, can someone assist with the Password manager for Android",2,0,2023-07-03 17:23:28,"Hello James! In order to resolve the issue, please visit our website - https://support.avira.com, where you can find the solution yourself on our self-help portal. You can also contact our support through the same link.",2023-07-04 18:45:56,2.10,en,us
Google Play,e057a6ba-3232-4a76-88c4-ba7a16b1ac26,Michael Bonner,,Repeatedly have to sign in. Too many times.,3,0,2023-07-02 18:30:58,Hello Michael! We are really sorry for the inconvenience. Please visit our website - https://support.avira.com in order to find the solutions of all the product related issues on our self-help portal and in order to connect with our chat support team as well.,2023-07-04 18:48:35,2.10,en,us
Google Play,4601f13e-1ca8-4f1a-9053-ddb054721e33,Funmi Opayinka,,"The app was great before but now I suddenly can't even log in with my master password it keeps saying ""incorrect password"" even tho it is correct",1,0,2023-06-28 12:27:00,"Hello! We deeply apologize for the inconvenience you have faced while using the app. Please contact us by visiting our website - https://support.avira.com to resolve your concern. Also, you can find information and solutions yourself by visiting the above mentioned support website.",2023-06-29 20:05:56,2.10,en,us
Google Play,a97c524f-69d6-4cb7-b962-b2ef6e3b9f0c,Stephen Wilkinson,,"Appalling technical support. I got a new device and logged out of my old one. Tried logging into PWM on new device keep getting the error ""no internet connection"". Tried to log into PWM on my old device, to see if that worked. Nope, get the same error. Go through all the usual troubleshooting steps, uninstall, restart device etc etc. Nothing works. So I opened a ticket. Explained the problem and told them all the steps I'd tried. Only to get a generic response asking me to try the same steps",1,3,2023-06-27 23:30:43,"Hello, Stephen! We're really sorry about the negative experience you've had while interacting with our support team. However, I request you to follow the troubleshooting steps mentioned in our support website - https://support.avira.com You are free to reach out to us for any help by visiting the same link mentioned above.",2023-06-29 20:20:26,2.10,en,us
Google Play,41572181-0df3-4132-81d2-5e25849c639d,Siphiwe Sikhakhane,,Doesn't open when you put master password. No error indicating the problem whether the password is wrong or not.,2,1,2023-06-26 06:34:29,"Hello! We are really sorry that you are facing trouble while using the product. This issue might be possible because of a technical glitch. Kindly uninstall and then reinstall the app to resolve the issue. If this doesn't help, feel free to contact us by visiting our support website - https://support.avira.com",2023-06-29 20:00:07,2.10,en,us
Google Play,16ecce0c-7aef-4386-b684-401232e5cdc6,Matthew Miles,,Excellent password manager! Had a problem with a button constantly on screen. Turned out to be an Android accessibility setting. All is great now!,5,1,2023-06-26 00:14:57,,,2.10,en,us
Google Play,804481fd-82ec-480d-b690-4a37984ac818,Mario Nieto,,"The only app that I need for authentication, for me is not MFA is APM-FA. Maximum qualification.",5,14,2023-06-26 00:00:35,,,2.10,en,us
